label,sentence
3,タイトル: ショーシャンクの空に。概要: 冤罪で終身刑となった銀行員が、刑務所で希望を失わずに自由を追い求め続ける感動の物語。
3,タイトル: 君の名は。概要: 東京の少年と田舎町の少女が夢の中で入れ替わる不思議な現象を通じて惹かれあっていくアニメ映画。
4,タイトル: マッドマックス 怒りのデス・ロード。概要: 荒廃した世界で、生存をかけて戦う女性たちと元警官マックスの壮絶なカーチェイスが繰り広げられるアクション映画。
4,タイトル: パラサイト 半地下の家族。概要: 貧困家庭の息子が裕福な家庭に家庭教師として入り込み、家族全体を巻き込んだ不穏な関係が生まれる社会派サスペンス。
5,タイトル: バイオハザード。概要: ウイルスによりゾンビが蔓延した地下施設で、特殊部隊が真相を探りながら脱出を目指すホラーアクション映画。
3,タイトル: ラ・ラ・ランド。概要: 夢を追うジャズピアニストと女優志望の女性が出会い、互いの人生に影響を与えながらもすれ違っていくラブストーリー。
4,タイトル: IT イット “それ”が見えたら、終わり。概要: 子どもたちが正体不明のピエロ型怪物に立ち向かう、スティーブン・キング原作のホラー映画。
5,タイトル: インセプション。概要: 他人の夢に潜入し、潜在意識にアイデアを植え付けるミッションを描いた、時空が交錯するSFサスペンス。
3,タイトル: コクリコ坂から。概要: 1960年代の横浜を舞台に、新聞部の少女と航海部の少年が出会い、文化遺産を守ろうと奮闘する青春アニメ。
2,タイトル: グリーンブック。概要: 黒人ピアニストとイタリア系運転手の2人がアメリカ南部を旅しながら、互いの違いを理解していく実話に基づいたヒューマンドラマ。
3,タイトル: 天気の子。概要: 家出少年と天候を操る少女が東京で出会い、世界と引き換えに彼女を選ぶ青春ファンタジー。
5,タイトル: ジュラシック・パーク。概要: 遺伝子操作で復活した恐竜たちがテーマパークを混乱に陥れるSFスリラー。
4,タイトル: アバター。概要: 地球からの移住者と先住民族ナヴィの交流と対立を描く壮大なSFアクション。
2,タイトル: 名探偵ピカチュウ。概要: 人間の少年と話すピカチュウが共に父親の謎を追う、ポケモン実写映画。
3,タイトル: スラムドッグ$ミリオネア。概要: インドのスラム出身の青年がクイズ番組で人生を語る感動のドラマ。
5,タイトル: バック・トゥ・ザ・フューチャー。概要: 1985年の高校生がドクと共に過去と未来を行き来するタイムトラベル映画。
4,タイトル: ミッドサマー。概要: 白夜のスウェーデンで開かれる不気味な祝祭に巻き込まれるカップルのホラー。
2,タイトル: THE FIRST SLAM DUNK。概要: 湘北高校バスケ部の試合とメンバーの過去を描いた熱血アニメ映画。
2,タイトル: マイ・インターン。概要: 若い女性社長と70歳のシニアインターンの交流を描いた心温まるドラマ。
5,タイトル: スター・ウォーズ エピソード4 新たなる希望。概要: 若者ルークが銀河帝国と戦う運命に巻き込まれるSFの金字塔。
3,タイトル: マイ・フェア・レディ。概要: 花売り娘が言語学者により淑女に育てられる古典ミュージカル。
4,タイトル: 魔女の宅急便。概要: 修行中の魔女キキが宅配業を通して自立していく成長物語。
4,タイトル: チャーリーとチョコレート工場。概要: 不思議な工場に招待された子供たちが試されるファンタジー。
4,タイトル: グレイテスト・ショーマン。概要: サーカスを創り上げた実在の興行師の人生を描いたミュージカル映画。
4,タイトル: トイ・ストーリー。概要: おもちゃたちが持ち主の愛を巡って奮闘するディズニーの傑作。
4,タイトル: アイアンマン。概要: 天才発明家トニー・スタークが自作のスーツでヒーローになるマーベル映画。
3,タイトル: ブラックパンサー。概要: アフリカの秘密国家ワカンダの王が国と世界を守る戦いに挑む。
4,タイトル: スピード。概要: 時速50マイル以下で爆発するバスに乗った乗客と警官の緊迫アクション。
3,タイトル: バーレスク。概要: 田舎町の少女がL.A.で歌とダンスの才能を開花させるミュージカルドラマ。
3,タイトル: ワンダー 君は太陽。概要: 顔に障がいを持つ少年が普通学校に通い始めて周囲を変えていく心温まる話。
3,タイトル: プラダを着た悪魔。概要: ファッション誌編集部で奮闘する新米女性の成長物語。
4,タイトル: ザ・リング。概要: 見たら死ぬビデオテープの謎を追うホラー映画の名作。
4,タイトル: ヘアスプレー。概要: 太めの少女がTVダンス番組で注目され、差別に立ち向かう青春ミュージカル。
