label,sentence
2,首回りが大きく、余裕があり使いやすいです！
3,とても軽くて、持ち運びしやすく、座席に座りながらの使用にはちょうど良いです。
2,一流メーカー”貝印”製なので購入しましたが、パンチング ボールが凹んでいました。 ．．．残念。
3,素早い対応と新品同様で綺麗で驚くほどでした。とても良い商品を安く買えました
3,この商品を使用する前は小便をし終わって椅子に戻るとちょこっと漏らして 白いパンツの股間部分を黄色く汚して家内に文句を言われました これも老化の現象でしょう何しろ【８３才】の年寄ですから ご同輩に進言します その部分を白いまま維持するならは覚悟しましょうーーー 但し「小便」をしたくなったらズボンの上げ下ろしを覚悟しなければなりません。
3,ライディングシューズの防水が欲しくて、探していたところ、このシューズを見つけました。ワーキングシューズですが、ライディングシューズに劣らぬデザインが気に入っています。 写真はバイクで初めて使用し120Km位走った後の写真です。 左足のつま先部分に擦った痕が付いています。シフトチェンジ時に付いた痕です。これがダメだと思う人はやめた方がいいと思います。(色により若干の違いはあると思います) 履き心地はシューズメーカーだけあってスポーツシューズを履いている感覚です。濡れた路面も滑らないし、シフトチェンジやブレーキングも問題ありません。 バイク専用ではないので擦れキズを気にしない方にオススメです。自分は気にしませんが！
2,すぐ沸騰するので野菜を茹でたり少しの汁物作りにとても便利です。 届いた時からの塗装の剥げはマイナスでしたが使いやすさに関しては満足です。
3,見た目もカッコいいし、軽くて折りたたみもスムーズにできます。 職場に通ってますが、室内にも入れられて便利。
1,物はとても良いです、ただ塗装が必要だったため二点にしました。 素晴らしい形をしていますので、完成品（当然塗装済）でも良いと思いますよ
3,ハンガー部分はとてもしっかりしており、ツヤも高級感があり満足しています。ただ、石膏ボードへのアンカーが脆くも２つとも取り付け時に砕けてしまって、結局木ネジのみで取り付けることになってしまいました。片側は柱への取り付けのため木ネジのみでしっかり付きましたが、石膏ボード側はややグラグラ…手動のドライバーで無理したのが良くなかったのでしょうか。残念です。
1,プラチナチェーンが、細く感じました。もう少しボリュームがあればいいと思います。
3,アメリカで昔食べたコムハニーを思い出して購入。毎朝ヨーグルトに乗せて食べた。 値段が他のものと比べて安かったので届くまで不安だったが、実際に食べてみるととても美味しかった。 だが、一人で少しずつ食べたにも関わらず、２週間ほどですっかり無くなってしまった。もう少し安くなるといいなぁ。。。
3,価格が安かったので選びましたが、大丈夫かと不安でした。 ですがバッチリ問題なく使えています。 お風呂場で、アマゾンプライムを見ながら、 半身浴でダイエットと思い購入。 おかげでかなり快適なお風呂生活を楽しんでいます。 この金額でちゃんとした防水ケースだったので良かったです。
3,大きめの物が届くとレビューにあったので 1cm小さいものを買ったら少し小さく、靴擦れを起こした
3,超入門編！ 特に4、5、6の流れが大好きです！ 職場でもかけてみんなで楽しんでおります！
3,有名メーカーだけあって納得の品質と使い勝手です。 安いモノは4000円程度からあるこの手のスーツケースですが 作りがしっかりしており縫製も良く素材も良い。 キャスターも信頼出来るつくりです。
2,ジャンパー膝で痛かったので購入 付けてみた感じ、かなり効果を感じる ただし小さい。膝周り33cmだったのでM(36cmまで)を購入したが、ロゴが正面にこない。 使えはするが微妙に気に入らない
1,安いのにわりと美味しいのでリピ買いしたところ、今度のは不味い。 スカスカの安コーヒーでした。こんな事ちょくちょくありますね。 もう買わない。
0,取扱説明書が英語の記載の為、一体何をすればいいのか判らない。そもそもモードの切り替え自体、何をすればいいのか判らないにでムダ金を使ってしまった感が否めない。ちゃんとした使い方を教わりたい。
3,使いやすくてお値段以上です！気に入ってます
3,個人的に韓流ブームが嫌いで、今までJ-POPは敬遠していたのですが、 子どもの影響で聴いたところ、曲も声もかわいくてハマってしまいました。 テレビで見る機会が少ないのでDVDは嬉しいです。 メンバーがかわいいし、PVも凝っているので何回見ても飽きません。 曲のMVだけでなくジャケット写真撮影の様子やメイキング映像もたくさんあって見ごたえがありました。 1曲くらいライブ映像が欲しかったので星を4つにしました。 今後はYouTubeに上がっているような番組めいたものもあったらさらに嬉しいですね。
2,旅行に使用しました。疲れすぎずにずっとこの靴で過ごしました。折れ線が付いていてこれが直らないので星２つマイナスです。ちゃんと折れ線つかずに履きたかったです。
3,私の貼り方が間違ったのか、部分的に浮いてる様なパコパコって音がして反応しない場所が出来ます。 特に側面は顕著に反応が悪く感じます。 再購入するか検討中です。
3,大きすぎず小さすぎず、普段使いにちょうど良い大きさだと思います。 小さな小物入れも使い勝手がよく、最背面の縦型ジッパーも左右で使い分けができ、大変重宝しています。
3,前回、白を購入しました。気に入ってたので黒を買いました。コストパフォーマンスに優れた一品です。
3,近所のスーパーで同じ物を持っている人に会いました。やっぱり可愛いなあと思いました。
3,魚が数匹かかった状態で巻き上げるとほぼ前倒れします。 対策パーツ作るかマイナーチェンジしていただきたいと思います。
0,スプレー噴霧後ノズルの先端から液だれ生じ指に付着します。改善が必要です。
1,娘と一緒にスイミングに行ってるんですが、スイミングバックとして使ってます。
3,バスタオル1枚きれいにほせます。 スッキリします。 ダブルで干すのはまだ、未体験！
3,機械整備に使用しています。 排気管の温度、雰囲気温度も計測できるので、意外と重宝しています。 画面も見やすく、操作も簡単です。 買ってから１ヶ月、今のところ不満はありません。
4,折りたたみ傘なのに大きくてしっかり。 最初に持った時は確かに重いと感じましたが、中途半端な折りたたみ傘を買うくらいなら、この商品をおすすめします。 グリップ部分が滑りにくい素材になっています。 注意点は重さよりも大きさ。 一般的なビジネスバッグなら問題ありません。
3,孫は5歳なので紐が長くコマが回しにくかったです。コマの色はとても気に入ってます。まわせるよう頑張ってます。
1,サイズ感や使い勝手はかなりいいと思います。定期やカードも入れる場所を使い分けが出来て便利です。ただ革が100均みたいな素材なので、安物感があります。それを気にしないなら使いやすい商品です。
3,姪が以前使っていたものが断線したので、 姪自身がこれを選んで購入しました。
3,これがあればたいていのことが出来ますね。角材のカットもゲージで正確に角度が付けれる。 便利過ぎて日曜大工には手放せない。
3,迅速無事に届きました。ありがとうございます。 遠近両用でどちらもハッキリ見えてとても便利です
3,商品も履きやすく、購入してよかったです 迅速に配達していただきました。
2,純正のコントロールが壊れてレビューを見て購入しました。 難しい接続作業等なく簡単に繋げました。 今のところ問題ないです。
3,微妙にサイズが小さいので、端のところが心配
1,入っているはずの部品が1種類入ってなかった。 入っていない部品のみの再発送が出来ず、再度購入してから必要な部品だけを取り除き他は返品をと言われ、面倒だったから別の商品を購入した。発送する前にﾐｽがないかどうか再確認して欲しい。
