label,sentence
1,1月6日19時30分に乗用車の事故が発生。天気は曇りであった。路面は湿っていた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
1,1月8日15時52分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは交差点付近である。点灯式の信号機が設置してあった。交差点である。現場はカーブで平坦である。
0,1月7日9時0分に乗用車の事故が発生。天気は晴れであった。路面は凍結していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
1,1月8日14時15分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
1,12月25日18時0分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは交差点付近である。信号機は設置されていなかった。小さな交差点である。現場はカーブで平坦である。
1,1月24日13時24分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのはカーブ付近である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
0,1月4日14時5分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
0,1月19日18時40分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が広い道路である。現場はカーブで坂道になっている。
1,1月19日13時58分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは交差点付近である。信号機は設置されていなかった。小さな交差点である。現場はカーブで平坦である。
1,1月5日17時50分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
1,11月26日17時50分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
0,1月1日13時52分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が広い道路である。現場はカーブで坂道になっている。
1,1月18日10時30分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
1,1月24日9時20分に乗用車の事故が発生。天気は曇りであった。路面は湿っていた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
1,1月30日17時43分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。車両や人が自由に通行する道路である。現場はカーブで坂道になっている。
0,12月27日18時3分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
1,1月22日18時22分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
0,1月8日12時29分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が非常に狭い道路である。現場はカーブで坂道になっている。
1,1月2日18時8分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
1,1月13日19時28分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
1,1月19日14時15分に乗用車の事故が発生。天気は曇りであった。路面は湿っていた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
0,12月27日17時0分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは交差点付近である。信号機は設置されていなかった。小さな交差点である。現場はカーブで平坦である。
1,1月6日16時35分に乗用車の事故が発生。天気は雪が降っていた。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
1,1月13日10時20分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が非常に狭い道路である。現場はカーブで坂道になっている。
1,1月14日12時5分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が狭い道路である。現場はカーブで坂道になっている。
1,1月3日7時58分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは交差点付近である。信号機は設置されていなかった。小さな交差点である。現場はカーブで平坦である。
1,10月14日8時50分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは道路上である。信号機は設置されていなかった。幅員が非常に狭い道路である。現場はカーブで坂道になっている。
1,1月22日16時1分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは交差点付近である。信号機は設置されていなかった。小さな交差点である。現場はカーブで平坦である。
0,1月2日10時0分に乗用車の事故が発生。天気は晴れであった。路面は乾燥していた。事故が起こったのは交差点付近である。点灯式の信号機が設置してあった。幅員が狭い道路である。現場はカーブで坂道になっている。
